Abbrv,State,LE Q1 F,LE Q2 F,LE Q3 F,LE Q4 F,LE Q1 M,LE Q2 M,LE Q3 M,LE Q4 M,Female Average,Male Average,Q1 Average,Q2 Average,Q3 Average,Q4 Average,State Average
AL,Alabama,82.22805799999999,84.474808,85.808136,87.224434,75.376083,79.43051899999999,82.262962,84.49781,84.93385899999998,80.39184350000001,78.80207049999999,81.9526635,84.035549,85.861122,82.66285124999999
AK,Alaska,82.34895300000001,83.712013,85.585838,87.16877,76.63938900000001,80.524376,82.445099,85.575829,84.70389349999999,81.29617325000001,79.49417100000001,82.1181945,84.0154685,86.3722995,83.000033375
AZ,Arizona,82.151314,84.147186,85.781685,87.435135,77.00762900000001,80.474632,82.700462,85.230026,84.87883,81.35318725,79.57947150000001,82.31090900000001,84.2410735,86.3325805,83.116008625
AR,Arkansas,81.31076800000001,84.12365,85.637344,87.601463,75.763702,79.606911,82.11506700000001,84.158447,84.66830625,80.41103175,78.53723500000001,81.8652805,83.8762055,85.879955,82.539669
CA,California,82.946465,83.53072399999999,84.96513399999999,86.939842,78.73162099999999,80.364868,82.369225,85.161736,84.59554125,81.6568625,80.839043,81.947796,83.6671795,86.05078900000001,83.12620187499999
CO,Colorado,82.387817,84.839043,86.47332,88.555649,77.59934200000001,81.448418,84.00168599999999,86.636421,85.56395725,82.42146675,79.99357950000001,83.1437305,85.237503,87.596035,83.99271200000001
CT,Connecticut,82.566223,84.57511099999999,86.28475999999999,88.111473,77.378212,80.64698800000001,83.23539699999999,86.01406899999999,85.38439174999999,81.8186665,79.9722175,82.61104950000001,84.76007849999999,87.062771,83.601529125
DE,Delaware,81.685738,84.005775,85.889015,87.717789,75.667274,79.998352,82.788818,85.234688,84.82457925,80.92228300000001,78.676506,82.00206349999999,84.33891650000001,86.4762385,82.87343112500001
DC,District Of Columbia,81.959274,84.548447,85.870918,88.30033900000001,76.546844,79.807358,82.68695799999999,86.927116,85.16974450000001,81.492069,79.253059,82.17790249999999,84.278938,87.61372750000001,83.33090674999998
FL,Florida,82.85592700000001,84.430626,85.911194,87.599136,77.187881,80.131927,82.421837,85.078964,85.19922075000001,81.20515225,80.021904,82.2812765,84.1665155,86.33905,83.20218650000001
GA,Georgia,82.42392,84.404076,85.815895,87.691956,76.145348,79.735191,82.32180799999999,85.02696999999999,85.08396175,80.80732925,79.284634,82.06963350000001,84.0688515,86.359463,82.9456455
HI,Hawaii,80.952522,82.58419,83.288094,85.247765,76.639137,79.47097,81.509171,84.158112,83.01814275000001,80.4443475,78.7958295,81.02758,82.39863249999999,84.7029385,81.73124512499999
ID,Idaho,82.728096,85.561737,86.755013,88.444321,78.33078,82.386284,84.525497,86.33156600000001,85.87229175,82.89353175,80.529438,83.97401049999999,85.640255,87.3879435,84.38291175
IL,Illinois,81.895645,84.014206,85.353706,87.182175,76.869431,79.931938,82.23919699999999,84.688644,84.611433,80.9323025,79.38253800000001,81.973072,83.79645149999999,85.93540949999999,82.77186775
IN,Indiana,80.859085,83.82261700000001,85.594391,87.287704,74.685806,79.541412,82.397675,84.433746,84.39094925,80.26465974999999,77.7724455,81.68201450000001,83.99603300000001,85.860725,82.32780450000001
IA,Iowa,81.931786,84.952461,86.69869200000001,88.518387,76.562851,81.048653,83.582184,85.333481,85.52533150000001,81.63179225,79.2473185,83.000557,85.140438,86.92593400000001,83.578561875
KS,Kansas,81.073135,84.169838,86.112022,87.809196,75.776054,80.240288,82.958122,85.309105,84.79104775,81.07089225,78.4245945,82.205063,84.535072,86.5591505,82.93097000000002
KY,Kentucky,81.415802,83.882759,85.566315,87.305489,75.54085500000001,79.83354200000001,82.7248,84.86380799999999,84.54259125,80.74075125,78.4783285,81.8581505,84.1455575,86.08464849999999,82.64167125
LA,Louisiana,82.181557,84.361633,85.466042,87.063896,76.071732,80.050972,82.25531,84.447334,84.768282,80.706337,79.1266445,82.20630249999999,83.860676,85.755615,82.7373095
ME,Maine,83.19596899999999,85.29531899999999,86.90338100000001,88.55705999999999,77.704132,81.458176,84.1353,86.59315500000001,85.98793225,82.47269075,80.4500505,83.3767475,85.5193405,87.5751075,84.2303115
MD,Maryland,81.922966,84.001785,85.602531,87.76211500000001,76.57345600000001,79.83631899999999,82.252235,85.336479,84.82234925,80.99962225,79.248211,81.919052,83.92738299999999,86.549297,82.91098575000001
MA,Massachusetts,83.067032,84.634674,86.29142,88.034286,77.94064300000001,80.763428,83.240059,85.883278,85.506853,81.956852,80.5038375,82.699051,84.7657395,86.958782,83.7318525
MI,Michigan,81.03877299999999,84.271576,86.200989,87.53151700000001,75.540764,80.326912,82.845474,84.952301,84.76071375,80.91636274999999,78.2897685,82.29924399999999,84.52323150000001,86.241909,82.83853825
MN,Minnesota,82.600975,85.240112,87.063698,88.38105,77.609596,81.779076,84.412361,86.303635,85.82145875,82.526167,80.10528550000001,83.50959399999999,85.73802950000001,87.3423425,84.173812875
MS,Mississippi,82.392303,84.316147,85.634109,87.139206,76.104668,79.76059000000001,82.043663,84.229057,84.87044125,80.53449450000001,79.2484855,82.0383685,83.838886,85.6841315,82.702467875
MO,Missouri,81.41933399999999,84.327126,86.07710300000001,87.70037099999999,75.851677,80.186684,82.762016,84.933807,84.88098350000001,80.933546,78.6355055,82.256905,84.4195595,86.317089,82.90726475000001
MT,Montana,82.752808,85.482399,87.071159,88.357407,78.444435,82.594788,85.000999,86.279648,85.91594325,83.0799675,80.59862150000001,84.03859349999999,86.036079,87.31852749999999,84.49795537499999
NE,Nebraska,82.307762,85.08136,86.87606,88.083191,76.960052,81.171562,83.605186,85.444427,85.58709325,81.79530675000001,79.633907,83.126461,85.240623,86.76380900000001,83.6912
NV,Nevada,80.163551,82.023972,83.674759,85.80407,75.365318,78.58315999999999,81.167137,83.46443199999999,82.91658799999999,79.64501175,77.7644345,80.30356599999999,82.420948,84.63425099999999,81.280799875
NH,New Hampshire,82.376953,84.854683,86.67926,87.883057,76.96324200000001,81.17351500000001,83.2845,85.99925999999999,85.44848825,81.85512925,79.6700975,83.014099,84.98187999999999,86.9411585,83.65180874999999
NJ,New Jersey,82.627937,83.898697,85.176941,87.299355,77.397324,79.965576,82.10100600000001,84.90293100000001,84.7507325,81.09170925000001,80.0126305,81.9321365,83.6389735,86.10114300000001,82.921220875
NM,New Mexico,81.37305500000001,83.916985,85.473625,87.49585,76.079544,80.166969,83.001411,85.420036,84.56487875,81.16699,78.72629950000001,82.041977,84.237518,86.457943,82.865934375
NY,New York,83.1782,84.407036,85.82339499999999,87.716705,78.45039399999999,80.69324499999999,82.92935200000001,85.595276,85.281334,81.91706675,80.814297,82.5501405,84.3763735,86.6559905,83.59920037500001
NC,North Carolina,82.45665699999999,84.694748,86.183624,87.911659,76.263687,80.18343399999999,82.839821,85.38793199999999,85.311672,81.1687185,79.360172,82.43909099999999,84.51172249999999,86.6497955,83.24019525
ND,North Dakota,83.019547,85.54937,86.928543,88.807518,77.213173,82.125839,84.447289,86.36994200000001,86.0762445,82.53906075,80.11636,83.8376045,85.687916,87.58873,84.307652625
OH,Ohio,81.40862299999999,84.260963,85.847382,87.629326,75.575737,80.283234,82.919106,85.175949,84.78657349999999,80.9885065,78.49217999999999,82.2720985,84.38324399999999,86.4026375,82.88754
OK,Oklahoma,80.449402,83.12297099999999,85.340958,86.799461,75.28735400000001,79.52984599999999,82.092224,84.46057900000001,83.928198,80.34250075,77.868378,81.32640849999999,83.716591,85.63002,82.135349375
OR,Oregon,82.58240500000001,84.572327,86.429436,87.840919,77.875587,81.607162,84.004639,85.991562,85.35627175,82.3697375,80.228996,83.0897445,85.2170375,86.9162405,83.863004625
PA,Pennsylvania,82.047722,84.763115,86.241364,87.887054,76.06680300000001,80.474983,83.130096,85.451378,85.23481375,81.28081499999999,79.05726250000001,82.61904899999999,84.68573,86.669216,83.257814375
RI,Rhode Island,82.91954,84.997963,86.856972,88.341507,77.07401999999999,80.818634,83.401062,85.663979,85.7789955,81.73942375,79.99678,82.9082985,85.129017,87.002743,83.759209625
SC,South Carolina,82.539963,84.895332,86.112099,87.849625,75.844643,80.14359300000001,82.92289,85.141319,85.34925475,81.01311125000001,79.19230300000001,82.5194625,84.5174945,86.495472,83.18118299999999
SD,South Dakota,82.288528,85.585861,87.123192,88.22872199999999,77.62394,82.52356,84.10464499999999,86.21719399999999,85.80657575000001,82.61733475,79.956234,84.0547105,85.6139185,87.22295799999999,84.21195524999999
TN,Tennessee,81.743553,84.202835,85.898911,87.6856,75.437653,79.905357,82.67984,84.902847,84.88272475,80.73142425,78.590603,82.05409599999999,84.2893755,86.29422349999999,82.8070745
TX,Texas,81.293304,83.278015,85.017464,87.27879300000001,76.184792,79.193954,81.734268,84.794899,84.21689400000001,80.47697825,78.739048,81.2359845,83.375866,86.036846,82.346936125
UT,Utah,82.772774,85.110184,86.664665,88.992882,77.51487,81.61296800000001,84.454727,86.912048,85.88512625,82.62365324999999,80.143822,83.36157600000001,85.559696,87.95246499999999,84.25438975
VT,Vermont,83.153343,85.71096,86.88311,88.990135,78.202713,81.78785699999999,84.61131999999999,86.221611,86.184387,82.70587524999999,80.67802800000001,83.74940849999999,85.747215,87.605873,84.44513112499999
VA,Virginia,82.352463,84.48910500000001,85.82338,87.720718,76.491219,80.13877099999999,82.77930500000001,85.86174799999999,85.0964165,81.31776074999999,79.421841,82.31393800000001,84.3013425,86.791233,83.207088625
WA,Washington,82.35494200000001,84.619667,85.99942800000001,87.91239200000001,77.708878,81.176811,83.674728,85.91040799999999,85.22160725,82.11770625,80.03191000000001,82.898239,84.837078,86.9114,83.66965675
WV,West Virginia,81.633781,84.354355,85.820976,86.949127,76.000977,80.62529,82.978424,84.611465,84.68955975,81.054039,78.817379,82.4898225,84.3997,85.78029599999999,82.871799375
WI,Wisconsin,81.837036,85.037666,86.511253,87.98143,76.52391800000001,81.047096,83.65020799999999,85.54856099999999,85.34184625,81.69244574999999,79.180477,83.042381,85.08073049999999,86.7649955,83.517146
WY,Wyoming,81.173805,84.603882,86.042519,87.39061,76.02828199999999,81.194771,83.23201,85.99736,84.802704,81.61310575,78.6010435,82.8993265,84.6372645,86.693985,83.207904875
